Año,Fecha (dd/mm/aaaa),Moneda,Continente,Id Moneda,Tipo de cambio,Tipo de tasa,Valor
2010,2010-11-08,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,792899"
2010,2010-11-08,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,7959"
2010,2010-11-08,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"649,998209"
2010,2010-11-08,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"650,957779"
2010,2010-11-08,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,6975"
2010,2010-11-08,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,698399"
2010,2010-11-08,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1070,024719"
2010,2010-11-08,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1071,022089"
2010,2010-11-09,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,794999"
2010,2010-11-09,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,797"
2010,2010-11-09,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"653,43939"
2010,2010-11-09,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"654,339889"
2010,2010-11-09,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,6959"
2010,2010-11-09,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,696399"
2010,2010-11-09,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1077,381509"
2010,2010-11-09,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1078,41264"
2010,2010-11-10,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,798099"
2010,2010-11-10,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,801099"
2010,2010-11-10,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"655,317549"
2010,2010-11-10,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"656,48833"
2010,2010-11-10,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,714"
2010,2010-11-10,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,714599"
2010,2010-11-10,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1070,576219"
2010,2010-11-10,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1071,715279"
2010,2010-11-11,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,799999"
2010,2010-11-11,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,801"
2010,2010-11-11,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"663,198849"
2010,2010-11-11,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"663,71428"
2010,2010-11-11,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,718699"
2010,2010-11-11,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7192"
2010,2010-11-11,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1080,51419"
2010,2010-11-11,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1081,282359"
2010,2010-11-12,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,802"
2010,2010-11-12,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,802999"
2010,2010-11-12,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"662,725649"
2010,2010-11-12,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"663,24054"
2010,2010-11-12,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7176"
2010,2010-11-12,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,718499"
2010,2010-11-12,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1080,95432"
2010,2010-11-12,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1081,97484"
2010,2010-11-13,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,802"
2010,2010-11-13,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,802999"
2010,2010-11-13,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"664,077769"
2010,2010-11-13,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"664,546749"
2010,2010-11-13,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7176"
2010,2010-11-13,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,718499"
2010,2010-11-13,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1083,15973"
2010,2010-11-13,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1084,10572"
2010,2010-11-14,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,802"
2010,2010-11-14,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,802999"
2010,2010-11-14,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"664,077769"
2010,2010-11-14,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"664,546749"
2010,2010-11-14,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7176"
2010,2010-11-14,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,718499"
2010,2010-11-14,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1083,15973"
2010,2010-11-14,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1084,10572"
